date,tweet_text,author,followers,reply_count,retweet_count,like_count,ticker,main_post_label,main_post_score,positive_replies,negative_replies,neutral_replies,total_replies,avg_positive_score,avg_negative_score,avg_neutral_score,avg_positive_length,avg_negative_length,avg_neutral_length,price,change
2024-01-01,"#BTC: You are here 

Happy New Year! https://t.co/1Gp500CG2r",AlemzadehC,55094,88,222,1245,btc,positive,0.9524932503700256,10,2,8,20,0.9375245034694671,0.6432837843894958,0.7031709998846054,62.3,115.5,90.5,44183.4,4.52
2024-01-01,"#Bitcoin 🚨 Send it straight to $48,000 😈

#BTC $BTC https://t.co/jqDh2Ua2Jo https://t.co/p9rHhauJDE",KevinSvenson_,160207,82,194,1128,btc,neutral,0.7500137090682983,3,0,1,4,0.780953566233317,0.0,0.8276951313018799,24.333333333333332,0.0,32.0,44183.4,4.52
2024-01-01,"BTC up 4%. 
#SOLALTS up 7% to 27% 
#Solana https://t.co/mFLREXT7op",invest_answers,259497,50,35,468,btc,neutral,0.6961061358451843,3,0,3,6,0.8304395278294882,0.0,0.7401713331540426,51.333333333333336,0.0,50.666666666666664,44183.4,4.52
2024-01-01,"GM 🌞
It is 2024 and crypto is up again !!!
$SOL #BTC #ETH $JUP https://t.co/RnzwLnbQsS",Mrcapitalv,6225,93,4,99,btc,positive,0.7180892825126648,12,0,8,20,0.9319185813268026,0.0,0.7671548500657082,51.333333333333336,0.0,19.5,44183.4,4.52
2024-01-01,"#bitcoin is ripping on news that #bitcoin experts expect #BTC to reach $1M USD by Jan 3, 2025. https://t.co/J0EAase7Pw",BitPaine,39464,68,58,847,btc,neutral,0.5864068865776062,4,3,13,20,0.7857149094343185,0.8928434252738953,0.6540467968353858,43.75,49.0,74.76923076923077,44183.4,4.52
2024-01-01,"OG #Bitcoin is imminently facing an ETF approval.

When the first Gold ETF was approved, the price rose 420% over 8 years and spent a total of 20 years trapped below those highs.

Is #BTC going to see a few years of upside, followed by a decade+ of abysmal sideways price action? https://t.co/f2bsP6UDOD",AxisAlive,20231,31,21,164,btc,neutral,0.5311021208763123,2,1,10,13,0.576213151216507,0.6487456560134888,0.629420331120491,78.0,86.0,116.4,44183.4,4.52
2024-01-01,#Bitcoin 1M LMACD signal line is back above zero https://t.co/j2HNJLfQ2x,tonythebullBTC,36574,13,25,206,btc,neutral,0.7824251055717468,1,0,4,5,0.7318353056907654,0.0,0.763947606086731,28.0,0.0,55.0,44183.4,4.52
2024-01-01,"Happy New Year from the Ordiswap Team 🧡

We cannot be more excited for 2024 &amp; moving towards unlocking unparalleled liquidity on BTC's L1  🧪

– Stage 1 Mainnet
– $ORDS staking 
– Cross Chain Swaps using @THORChain Pools
– Ordilayer Routing with @Hyperlane_xyz 

&amp; much more… https://t.co/nKPbuFOcho",OrdiswapLabs,35476,82,130,531,btc,positive,0.9814157485961914,8,0,9,17,0.950613223016262,0.0,0.7406459384494357,76.875,0.0,60.666666666666664,44183.4,4.52
2024-01-01,Make sure to take care of your #Bitcoin because one day it will take care of you. https://t.co/sXBxiVuiRd,Stamp_Seed,4334,13,27,186,btc,positive,0.6499109268188477,1,0,0,1,0.9788976907730103,0.0,0.0,22.0,0.0,0.0,44183.4,4.52
2024-01-01,Happy New Year! 🧡 #BTC https://t.co/KIrlaYgVmx,TheBTCTherapist,193812,51,160,1376,btc,positive,0.9787574410438538,6,2,5,13,0.8047791322072347,0.8356124758720398,0.6677104949951171,45.833333333333336,79.0,49.6,44183.4,4.52
2024-01-01,"When I first Saw this I thought it was boring and bland, but BOY did I have my mind blown after diving deeper. A quick 🧵 on why this IS the biggest project that has ever been built to date on both eth and BTC and NOBODY is talking about it ….YET https://t.co/uShHY0avrd",Nyteowl_YT,6124,25,41,153,btc,positive,0.4358820617198944,11,1,7,19,0.793922635641965,0.6096591949462891,0.6579913667270115,200.36363636363637,250.0,132.57142857142858,44183.4,4.52
2024-01-01,"Cheers to 2024! 🥂

May your portfolios glow as bright as the New Year's firework, and here's to a year of soaring portfolios and smart crypto plays ✨

#coinstore #btc #eth #eths #facet https://t.co/sqLm7VSjyS",CoinstoreExc,144877,105,78,103,btc,positive,0.9751719832420349,20,0,0,20,0.9424733877182007,0.0,0.0,64.45,0.0,0.0,44183.4,4.52
2024-01-01,"Bitcoin Returns since 2010...

$BTC https://t.co/gGjr2cOAsG",charliebilello,629931,30,317,1305,btc,neutral,0.8912624716758728,4,3,4,11,0.7972464859485626,0.7083934346834818,0.6460795775055885,117.75,85.66666666666667,91.5,44183.4,4.52
2024-01-01,"Flipping into 2024 with the tastiest brunch of Bitcoin pancakes! 🥞

 As we savor the first morning of the New Year, which token do you think will be the main ingredient for success? Share your top pick! 🚀|

#btc #eth #doge #sol https://t.co/tpRjsrqwGg",CoinstoreExc,144877,104,80,98,btc,positive,0.8566178679466248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44183.4,4.52
2024-01-01,"New Year, New Crypto Resolutions with #Coinstore! 🌟

📓 Commit to mastering blockchain, expanding your portfolio, and engaging with the community. Let's build a smarter, stronger crypto future together in 2024!

#btc #eth #sol #doge https://t.co/0ei9QgRmbK",CoinstoreExc,144877,101,80,88,btc,positive,0.9211785197257996,19,0,1,20,0.8882011928056416,0.0,0.6780219674110413,107.63157894736842,0.0,66.0,44183.4,4.52
2024-01-01,"and in sell the rumor $BTC Spot ETF news 
#Bitcoin hits $43K 🤣 on NY Day 
HNY Team!!! 🙏🥂🥳 https://t.co/bESR4Ce6fS",invest_answers,259497,81,77,1089,btc,positive,0.6748464107513428,11,4,5,20,0.9138537699526007,0.5923206955194473,0.6964798212051392,57.0,88.25,101.8,44183.4,4.52
2024-01-01,"Okay ONE LAST @nodemonkes for the night before we enter 2024!!

I was once hesitant of buying SOL/BTC assets as it was out of my comfort zone but if you don't take the leap, the opportunity cost may haunt you. If you need help, LMK!
#SendNodes https://t.co/WZT9P0lC10",6thmanTO,2270,29,11,142,btc,neutral,0.49843356013298035,11,1,8,20,0.8760303692384199,0.7896279096603394,0.8147932142019272,109.9090909090909,92.0,80.25,44183.4,4.52
2024-01-02,"#BITCOIN PRICE DAY 1 OF ETF!!!

What the hell? https://t.co/o9akJmoiX7",BritishHodl,91047,60,109,680,btc,negative,0.8082247972488403,8,3,9,20,0.7778531238436699,0.6250162720680237,0.7176152600182427,107.25,190.66666666666666,125.11111111111111,44943.7,1.72
